Date,Account,Category,Note,Income/Expense,Amount
11/28/2024 13:10,CUB - online payment,Food,Zomato,Expense,269.4
11/27/2024 23:14,CUB - online payment,Food,Dinner with gowdham,Expense,120
11/27/2024 22:34,CUB - online payment,Food,Dinner with gowdham,Expense,130
11/27/2024 18:41,CUB - online payment,Transportation,Rapido,Expense,35
11/27/2024 13:46,CUB - online payment,Food,Lunch with company,Expense,75
11/27/2024 13:46,CUB - online payment,Allowance,From dad,Income,2000
11/27/2024 9:33,CUB - online payment,Food,Breakfast,Expense,30
11/26/2024 21:56,CUB - online payment,Food,Beer,Expense,150
11/26/2024 20:57,CUB - online payment,Food,Snack,Expense,102
11/26/2024 20:15,CUB - online payment,Food,Panipoori,Expense,40
11/26/2024 14:14,CUB - online payment,Petty cash,Cashback,Income,3
11/26/2024 14:14,CUB - online payment,Food,Lunch with company,Expense,150
11/26/2024 9:22,CUB - online payment,Food,Breakfast,Expense,60
11/25/2024 20:27,CUB - online payment,Food,Lunch with company,Expense,145
11/25/2024 20:27,CUB - online payment,Transportation,Rapido,Expense,58
11/25/2024 20:27,CUB - online payment,Food,Dinner,Expense,95
11/24/2024 19:26,CUB - online payment,Food,Snack,Expense,15
11/24/2024 19:23,CUB - online payment,Food,Dinner,Expense,70
11/24/2024 19:06,CUB - online payment,Food,Panipoori,Expense,20
11/24/2024 19:06,CUB - online payment,Transportation,Rapido,Expense,58
11/23/2024 22:53,CUB - online payment,Transportation,Rapido,Expense,50
11/23/2024 22:53,CUB - online payment,Food,Dinner,Expense,179
11/22/2024 14:16,CUB - online payment,Food,Dinner,Expense,90
11/22/2024 14:16,CUB - online payment,Food,Lunch with company,Expense,97
11/21/2024 17:07,CUB - online payment,Transportation,Rapido,Expense,130
11/21/2024 15:50,CUB - online payment,Food,Lunch,Expense,875
11/21/2024 13:30,CUB - online payment,Other,Got from gobi,Income,2000
